protein_id,chain,sequence_length
5skm_A,A,312
5skm_B,B,314
5skm_C,C,312
5skm_D,D,309
5skn_A,A,312
5skn_B,B,314
5skn_C,C,312
5skn_D,D,309
5skp_A,A,313
5skp_B,B,314
5skp_C,C,312
5skp_D,D,312
5skq_A,A,312
5skq_B,B,314
5skq_C,C,312
5skq_D,D,312
5skr_A,A,312
5skr_B,B,313
5skr_C,C,312
5skr_D,D,309
5skz_D,D,459
5sl2_D,D,461
5sl3_D,D,459
5sl4_D,D,459
5sl7_D,D,459
5sl9_D,D,459
5sla_D,D,459
5slb_D,D,459
5slc_D,D,459
5sld_D,D,459
5slg_D,D,459
5slh_D,D,458
5sll_D,D,459
5slo_D,D,450
5slp_D,D,465
5slr_D,D,459
5slt_D,D,459
5slx_D,D,453
5sm1_D,D,459
5sm2_D,D,459
5sm5_D,D,459
5sm7_D,D,459
5sm8_D,D,459
5smd_D,D,459
5sme_D,D,461
5smg_D,D,459
5smj_A,A,486
5smj_B,B,483
5smk_D,D,459
5sml_A,A,304
5smm_A,A,304
5smn_A,A,304
5sn5_A,A,412
5sn5_B,B,412
5sn6_A,A,412
5sn6_B,B,412
5sn7_A,A,412
5sn7_B,B,412
5sn8_A,A,412
5sn8_B,B,412
5sn9_A,A,412
5sn9_B,B,412
5sna_A,A,412
5sna_B,B,412
5snb_A,A,412
5snb_B,B,412
5snc_A,A,412
5snc_B,B,412
5snd_A,A,412
5snd_B,B,412
5sne_A,A,412
5sne_B,B,412
5snf_A,A,412
5snf_B,B,412
5sng_A,A,412
5sng_B,B,412
5snh_A,A,412
5snh_B,B,412
5snj_A,A,412
5snj_B,B,412
5snk_A,A,412
5snk_B,B,412
5snm_A,A,412
5snm_B,B,412
5sno_A,A,412
5sno_B,B,412
5snp_A,A,412
5snp_B,B,412
5snr_A,A,412
5snr_B,B,412
5snu_A,A,412
5snu_B,B,412
5snv_A,A,412
5snv_B,B,412
5snw_A,A,412
5snw_B,B,412
5snx_A,A,412
5snx_B,B,412
5sny_A,A,412
5sny_B,B,412
5snz_A,A,412
5snz_B,B,412
5so3_A,A,412
5so3_B,B,412
5so4_A,A,412
5so4_B,B,412
5so5_A,A,412
5so5_B,B,412
5so6_A,A,412
5so6_B,B,412
5so7_A,A,412
5so7_B,B,412
5so8_A,A,412
5so8_B,B,412
5so9_A,A,412
5so9_B,B,412
5soa_A,A,412
5soa_B,B,412
5sob_A,A,412
5sob_B,B,412
5soc_A,A,412
5soc_B,B,412
5sod_A,A,412
5sod_B,B,412
5soe_A,A,412
5soe_B,B,412
5sof_A,A,412
5sof_B,B,412
5sog_A,A,412
5sog_B,B,412
5soh_A,A,412
5soh_B,B,412
5st0_B,B,300
5st1_B,B,300
5st2_B,B,300
5st3_B,B,300
5st4_B,B,300
5st5_B,B,300
5st6_B,B,300
5st7_B,B,300
5st8_B,B,300
5st9_B,B,300
5sta_B,B,300
5stb_B,B,300
5stc_B,B,300
5ste_B,B,300
5stf_B,B,300
5stg_B,B,300
5sth_B,B,300
5sti_B,B,300
5stj_B,B,300
5stk_B,B,300
5stl_B,B,300
5stm_B,B,300
5stn_B,B,300
5sto_B,B,300
5stp_B,B,300
5stq_B,B,300
5str_B,B,300
5sts_B,B,300
5stt_B,B,300
5stu_B,B,300
5stv_B,B,300
5stw_B,B,300
5stx_B,B,300
5sty_B,B,300
5stz_B,B,300
5su0_B,B,300
5su1_B,B,300
5su2_B,B,300
5su3_B,B,300
5su4_B,B,300
5su5_B,B,300
5su6_B,B,300
5su7_B,B,300
5su8_B,B,300
5su9_B,B,300
5sua_B,B,300
5sub_B,B,300
5suc_B,B,300
5sud_B,B,300
5sue_B,B,300
5suf_B,B,300
5sug_B,B,300
5sui_A,A,382
5svo_A,A,410
5svo_B,B,389
5svz_A,A,426
5sw3_A,A,371
5sw6_A,A,713
5sw6_B,B,713
5swb_A,A,454
5swb_C,C,451
5swb_D,D,450
5swb_G,G,454
5sx0_A,A,712
5sx0_B,B,713
5sx1_A,A,713
5sx1_B,B,713
5sx3_A,A,713
5sx3_B,B,713
5sxm_A,A,304
5sxm_B,B,303
5sxo_A,A,409
5sxs_A,A,713
5sxs_B,B,713
5sxt_A,A,713
5sxt_B,B,713
5sxx_A,A,713
5sxx_B,B,713
5syi_A,A,713
5syi_B,B,713
5syj_A,A,713
5syj_B,B,713
5syl_A,A,713
5syl_B,B,713
5syr_A,A,340
5syr_B,B,336
5syt_A,A,444
5szt_A,A,540
5t05_A,A,670
5t05_B,B,677
5t0a_A,A,670
5t0a_B,B,677
5t1e_A,A,431
5t1f_A,A,431
5t1p_A,A,324
5t1p_B,B,323
5t1p_C,C,323
5t1p_D,D,325
5t1p_E,E,323
5t1p_F,F,324
5t1p_G,G,323
5t1p_H,H,323
5t1u_A,A,380
5t3b_A,A,458
5t3b_B,B,457
5t40_B,B,300
5t4b_A,A,728
5t4b_B,B,728
5t4c_A,A,752
5t4e_A,A,728
5t4e_B,B,728
5t4f_A,A,728
5t4f_B,B,728
5t4g_A,A,752
5t4l_A,A,396
5t4t_A,A,301
5t5i_A,A,568
5t5i_B,B,430
5t5i_F,F,335
5t5i_I,I,568
5t5i_J,J,431
5t5i_N,N,329
5t5u_A,A,392
5t5x_A,A,470
5t64_A,A,406
5t64_B,B,397
5t67_A,A,405
5t67_B,B,402
5t6b_A,A,403
5t6b_B,B,406
5t6b_C,C,394
5t6b_D,D,393
5t6c_A,A,392
5t6h_A,A,392
5t6m_A,A,382
5t6m_B,B,385
5t6m_C,C,390
5t6m_D,D,381
5t6o_A,A,380
5t77_A,A,467
5t79_A,A,315
5t7o_A,A,494
5t7o_B,B,495
5t7o_C,C,487
5t7o_D,D,489
5t88_A,A,616
5t88_B,B,616
5t8k_A,A,491
5t8k_B,B,493
5t8k_C,C,492
5t8k_D,D,493
5t8s_A,A,388
5t8s_B,B,376
5t96_A,A,325
5t96_B,B,330
5t96_C,C,325
5t96_D,D,321
5t96_E,E,325
5t96_F,F,316
5t9y_A,A,321
5t9y_B,B,319
5t9y_C,C,319
5ta0_A,A,626
5ta0_B,B,615
5ta5_A,A,624
5ta5_B,B,613
5tb7_A,A,312
5tb7_B,B,311
5tb7_C,C,311
5tb8_A,A,328
5tc9_A,A,431
5td3_A,A,307
5td3_B,B,304
5tde_A,A,420
5tde_B,B,324
5tdf_A,A,421
5tdf_B,B,323
5tds_A,A,490
5tds_B,B,301
5tds_D,D,490
5tds_E,E,304
5tdt_A,A,489
5tdt_B,B,306
5tdt_D,D,490
5tdt_F,F,305
5tdu_A,A,490
5tdu_B,B,305
5tdz_A,A,418
5tdz_B,B,323
5te0_A,A,316
5te2_A,A,428
5te2_B,B,428
5tee_A,A,691
5tef_A,A,680
5tf5_A,A,424
5tf5_B,B,424
5tgf_A,A,325
5tgf_B,B,325
5tgf_C,C,325
5tgf_D,D,324
5tha_A,A,684
5thh_A,A,329
5thl_A,A,330
5ths_A,A,364
5ths_B,B,357
5thu_A,A,358
5thu_B,B,344
5thv_A,A,349
5thv_B,B,347
5ti1_A,A,426
5ti1_B,B,429
5ti1_C,C,429
5ti1_D,D,429
5ti1_E,E,429
5ti1_F,F,429
5ti1_G,G,429
5ti1_H,H,430
5tip_A,A,436
5tip_B,B,436
5tip_C,C,436
5tip_D,D,436
5tj3_A,A,519
5tjs_A,A,348
5tk3_A,A,349
5tkc_A,A,348
5tkl_A,A,350
5tkn_A,A,349
5tkr_A,A,432
5tl4_A,A,461
5tl4_B,B,447
5tl4_C,C,461
5tl4_D,D,448
5tl8_A,A,448
5tle_A,A,349
5tle_B,B,349
5tle_C,C,351
5tle_D,D,348
5tlz_A,A,346
5tlz_B,B,346
5tlz_C,C,348
5tlz_D,D,345
5tma_A,A,567
5tma_B,B,561
5tme_A,A,435
5tmn_E,E,316
5tnv_A,A,306
5tnx_A,A,370
5ton_A,A,413
5ton_B,B,395
5toq_A,A,413
5toq_B,B,391
5tor_A,A,413
5tor_B,B,412
5tot_A,A,413
5tot_B,B,396
5tov_A,A,382
5tov_B,B,403
5tow_A,A,388
5tow_B,B,403
5tp4_A,A,405
5tp4_B,B,409
5tpc_A,A,425
5tpr_A,A,400
5tpr_B,B,400
5tro_A,A,490
5tro_B,B,491
5ts8_A,A,332
5tsd_A,A,316
5tsd_B,B,316
5tso_P,P,332
5tso_R,R,332
5tso_S,S,332
5tsp_A,A,448
5tsp_B,B,448
5tsq_A,A,312
5tt5_A,A,581
5ttd_A,A,491
5ttd_B,B,361
5ttw_A,A,362
5ttw_C,C,361
5tu0_A,A,385
5tui_A,A,388
5tui_B,B,370
5tuk_A,A,372
5tuk_B,B,373
5tuk_C,C,367
5tuk_D,D,364
5tul_A,A,377
5tux_A,A,305
5tv0_A,A,304
5tv2_A,A,365
5tw4_A,A,359
5tw4_B,B,359
5tw8_A,A,356
5tw8_B,B,359
5twb_A,A,344
5twm_A,A,559
5twq_A,A,325
5twr_A,A,327
5tws_A,A,325
5tx9_A,A,358
5tx9_B,B,359
5txi_A,A,359
5txi_B,B,359
5txk_A,A,317
5txr_A,A,479
5txr_B,B,476
5txx_A,A,329
5txz_A,A,328
5ty2_A,A,359
5ty2_B,B,359
5ty7_A,A,355
5ty7_B,B,358
5tyb_A,A,327
5tyd_A,A,326
5tyf_A,A,327
5tyg_A,A,328
5tyj_A,A,566
5tyk_A,A,566
5tyl_A,A,566
5tym_A,A,566
5tyn_A,A,568
5tyo_A,A,566
5typ_A,A,566
5tyv_A,A,327
5tyw_A,A,327
5tyx_A,A,325
5tyy_A,A,326
5tyz_A,A,326
5tz1_A,A,484
5tz1_B,B,484
5tz3_A,A,341
5tz3_B,B,340
5tz3_C,C,334
5tz3_D,D,327
5tza_A,A,341
5tza_B,B,338
5tza_C,C,328
5tza_D,D,333
5tzb_A,A,354
5tzb_B,B,354
5tzb_C,C,355
5tzb_D,D,355
5tzb_E,E,355
5tzb_F,F,355
5tzb_G,G,353
5tzb_H,H,353
5tzh_A,A,341
5tzh_B,B,339
5tzh_C,C,327
5tzh_D,D,327
5tzj_A,A,349
5tzj_C,C,349
5tzv_A,A,328
5tzw_A,A,342
5tzw_B,B,339
5tzw_C,C,328
5tzw_D,D,327
5tzx_A,A,342
5tzx_B,B,337
5tzx_C,C,327
5tzx_D,D,328
5tzz_A,A,342
5tzz_B,B,339
5tzz_C,C,327
5tzz_D,D,332
5u00_A,A,341
5u00_B,B,339
5u00_C,C,339
5u00_D,D,336
5u04_A,A,478
5u0h_A,A,543
5u19_A,A,311
5u1i_A,A,309
5u1z_A,A,361
5u1z_B,B,361
5u1z_C,C,361
5u1z_D,D,359
5u20_A,A,360
5u20_B,B,360
5u20_C,C,360
5u20_D,D,359
5u21_A,A,361
5u21_B,B,362
5u21_C,C,361
5u21_D,D,361
5u22_A,A,403
5u23_A,A,361
5u23_B,B,363
5u23_C,C,361
5u23_D,D,366
5u24_A,A,361
5u24_B,B,362
5u24_C,C,361
5u24_D,D,361
5u2m_A,A,464
5u2m_B,B,464
5u2n_A,A,465
5u2n_B,B,464
5u2o_A,A,543
5u2p_A,A,381
5u2r_A,A,328
5u2t_A,A,324
5u3a_A,A,495
5u3f_A,A,326
5u3f_B,B,328
5u47_A,A,684
5u4h_A,A,420
5u4h_B,B,420
5u4n_A,A,350
5u4q_A,A,308
5u4x_A,A,332
5u4x_B,B,331
5u4x_C,C,331
5u4x_D,D,332
5u5h_A,A,355
5u5t_A,A,348
5u5t_B,B,348
5u62_A,A,349
5u62_B,B,354
5u63_A,A,315
5u63_B,B,319
5u69_A,A,358
5u6d_A,A,358
5u6i_A,A,339
5u6s_A,A,444
5u6s_B,B,444
5u6t_A,A,393
5u6u_A,A,393
5u7d_A,A,338
5u7d_B,B,328
5u7d_C,C,338
5u7i_A,A,338
5u7i_B,B,336
5u7i_C,C,327
5u7i_D,D,324
5u7j_A,A,338
5u7j_B,B,336
5u7j_C,C,327
5u7j_D,D,327
5u7p_A,A,405
5u7w_A,A,405
5u81_A,A,369
5u8a_A,A,358
5u8f_A,A,358
5u8u_A,A,472
5u8u_B,B,474
5u8u_C,C,473
5u8u_D,D,477
5u8v_A,A,472
5u8v_B,B,473
5u8v_C,C,474
5u8v_D,D,475
5u8w_A,A,473
5u8w_B,B,473
5u8w_C,C,473
5u8w_D,D,472
5u8z_A,A,497
5u8z_B,B,497
5u8z_C,C,500
5u8z_D,D,497
5u90_A,A,497
5u90_B,B,497
5u90_C,C,501
5u90_D,D,497
5u92_A,A,346
5u97_A,A,497
5u97_B,B,497
5u97_C,C,500
5u97_D,D,497
5u9h_A,A,326
5uam_A,A,440
5uam_B,B,440
5uao_A,A,519
5uao_B,B,516
5uao_C,C,514
5uao_D,D,514
5uas_A,A,440
5uas_B,B,440
5ubj_A,A,303
5ubl_A,A,718
5uc7_A,A,430
5ucw_A,A,453
5ucw_B,B,453
5uda_A,A,461
5uda_B,B,460
5udi_A,A,460
5udj_A,A,460
5udk_A,A,461
5udl_A,A,460
5uej_A,A,375
5uej_B,B,376
5ufg_A,A,464
5ugn_A,A,324
5ugo_A,A,326
5ugp_A,A,323
5ugr_A,A,323
5ui1_A,A,312
5ui1_B,B,313
5ui1_C,C,317
5ui1_D,D,311
5ui3_A,A,305
5ui3_B,B,305
5ui3_C,C,306
5ui3_D,D,305
5ui9_A,A,342
5ui9_B,B,342
5uij_A,A,398
5uij_B,B,397
5ujk_A,A,315
5ukh_A,A,315
5uki_A,A,351
5ul3_A,A,727
5ul4_A,A,729
5ulb_A,A,331
5ulj_A,A,381
5ulj_B,B,386
5ulj_C,C,381
5ulj_D,D,379
5ulv_A,A,318
5ulx_A,A,373
5um2_A,A,316
5umh_A,A,307
5umh_B,B,310
5umz_B,B,426
5un3_A,A,316
5unb_A,A,348
5unb_B,B,333
5unr_A,A,407
5unr_B,B,411
5uns_A,A,407
5uns_B,B,411
5unv_A,A,407
5unv_B,B,411
5uny_A,A,410
5uny_B,B,411
5unz_A,A,407
5unz_B,B,411
5uo0_A,A,410
5uo0_B,B,411
5uo1_A,A,413
5uo1_B,B,409
5uo2_A,A,416
5uo2_B,B,409
5uo4_A,A,415
5uo4_B,B,408
5uo5_A,A,415
5uo5_B,B,410
5uo6_A,A,413
5uo6_B,B,410
5uof_A,A,471
5uof_B,B,459
5uoy_A,A,321
5upe_A,A,464
5upe_B,B,464
5upf_A,A,464
5upf_B,B,464
5upg_A,A,300
5upi_A,A,752
5upm_A,A,753
5upn_A,A,752
5upo_A,A,752
5upp_A,A,462
5upp_B,B,462
5upt_A,A,504
5upv_A,A,352
5upx_A,A,380
5uq6_A,A,301
5uqc_A,A,482
5uqc_B,B,479
5uqd_A,A,324
5uqk_A,A,537
5uql_A,A,542
5uqr_A,A,439
5uqr_B,B,435
5uqs_A,A,434
5uqs_C,C,434
5uqu_A,A,438
5uqu_B,B,436
5uqz_A,A,354
5ur0_A,A,332
5ur0_B,B,331
5ur0_C,C,331
5ur0_D,D,331
5urb_A,A,546
5urb_B,B,546
5urd_A,A,609
5urd_B,B,605
5uro_A,A,336
5uth_A,A,306
5uti_A,A,371
5utj_A,A,364
5utl_A,A,344
5utl_B,B,335
5utl_C,C,333
5utl_D,D,334
5utm_A,A,345
5utm_B,B,333
5utm_C,C,333
5utm_D,D,334
5uu1_A,A,315
5uu7_A,A,316
5uu9_A,A,316
5uua_A,A,316
5uub_A,A,316
5uuc_A,A,316
5uud_A,A,316
5uue_A,A,316
5uvb_A,A,393
5uvf_A,A,317
5uvf_B,B,316
5uvf_C,C,301
5uvg_A,A,348
5uw3_A,A,693
5uw3_B,B,707
5uw3_C,C,702
5uw3_D,D,698
5uwf_C,C,323
5uwf_D,D,324
5uwx_A,A,346
5uwx_B,B,344
5uwx_C,C,346
5uwx_D,D,341
5uxa_A,A,301
5uxf_A,A,316
5uxm_A,A,445
5uy7_A,A,316
5uyt_A,A,423
5uyt_B,B,424
5uyu_A,A,370
5uz0_A,A,589
5uz0_B,B,589
5uz0_C,C,589
5uz0_D,D,588
5uz8_A,A,317
5uzc_A,A,344
5uzc_B,B,347
5uzc_C,C,342
5uzc_D,D,345
5v0i_A,A,321
5v0i_B,B,325
5v0t_A,A,454
5v0t_B,B,453
5v0t_C,C,452
5v0t_D,D,452
5v0t_E,E,457
5v0t_F,F,455
5v0t_G,G,454
5v0t_H,H,451
5v0w_A,A,385
5v0w_B,B,385
5v0w_C,C,377
5v1g_A,A,320
5v1h_A,A,323
5v1o_A,A,326
5v1p_A,A,326
5v2c_A,A,334
5v2c_B,B,504
5v2c_C,C,451
5v2c_D,D,341
5v2c_a,a,334
5v2c_b,b,506
5v2c_c,c,458
5v2c_d,d,341
5v2d_A,A,488
5v2d_B,B,483
5v2d_C,C,480
5v2d_D,D,480
5v2j_A,A,444
5v2j_B,B,444
5v2m_A,A,311
5v2t_A,A,335
5v2x_A,A,345
5v2x_B,B,345
5v2y_A,A,341
5v2z_A,A,349
5v32_A,A,339
5v34_A,A,342
5v36_A,A,451
5v36_B,B,451
5v37_A,A,424
5v38_A,A,418
5v38_B,B,416
5v3c_A,A,373
5v3r_A,A,357
5v4p_A,A,396
5v4p_B,B,396
5v4v_A,A,397
5v4v_B,B,397
5v53_A,A,713
5v53_B,B,713
5v62_A,A,349
5v6q_A,A,318
5v6q_B,B,319
5v6q_C,C,319
5v6q_D,D,318
5v7g_A,A,317
5v7g_B,B,317
5v7g_C,C,317
5v7g_D,D,317
5v7n_A,A,319
5v7n_B,B,318
5v7n_C,C,318
5v7n_D,D,318
5v86_A,A,360
5v88_A,A,363
5v8r_A,A,402
5v8r_B,B,405
5v8s_A,A,399
5v8s_B,B,396
5v8y_A,A,330
5v8y_B,B,335
5v96_A,A,467
5v96_B,B,464
5v96_C,C,465
5v96_D,D,465
5v97_A,A,603
5v9g_A,A,620
5vak_A,A,439
5vaw_A,A,484
5vbi_A,A,562
5vbi_B,B,561
5vc2_A,A,386
5vc2_B,B,380
5vcc_A,A,457
5vcd_A,A,460
5vcm_A,A,351
5vcm_B,B,358
5vcr_A,A,350
5vcr_B,B,343
5vdn_A,A,449
5vdn_B,B,449
5ve3_A,A,347
5ve3_B,B,347
5veh_A,A,410
5veh_B,B,398
5vej_A,A,327
5ven_A,A,382
5ven_B,B,373
5veo_A,A,374
5vev_A,A,406
5vev_B,B,407
5vf5_A,A,369
5vfb_A,A,724
5vfb_B,B,724
5vfc_A,A,304
5vg3_A,A,382
5vg3_B,B,376
5vg3_C,C,377
5vg7_A,A,563
5vg7_B,B,562
5vgm_A,A,328
5vgm_B,B,339
5vhb_A,A,325
5vhv_A,A,361
5vhv_B,B,361
5vi6_A,A,353
5vi9_A,A,306
5viu_A,A,401
5viu_B,B,383
5viv_A,A,301
5vj0_D,D,300
5vj5_A,A,374
5vj5_B,B,374
5vjd_A,A,343
5vjd_B,B,343
5vje_A,A,339
5vje_B,B,341
5vjg_A,A,374
5vjz_A,A,412
5vjz_B,B,411
5vk7_A,A,413
5vk7_B,B,390
5vka_A,A,340
5vkb_A,A,339
5vkr_A,A,374
5vkt_A,A,353
5vkt_B,B,353
5vkw_A,A,470
5vkw_B,B,469
5vl0_A,A,374
5vl0_B,B,374
5vl0_C,C,374
5vl0_D,D,374
5vlc_A,A,431
5vlc_B,B,432
5vlc_C,C,434
5vlc_D,D,432
5vlc_E,E,430
5vlc_F,F,434
5vli_A,A,322
5vm2_A,A,346
5vm2_B,B,346
5vm5_A,A,384
5vm5_B,B,382
5vm5_C,C,383
5vm5_D,D,383
5vma_A,A,700
5vmr_A,A,421
5vmr_B,B,419
5vn1_A,A,374
5vn1_B,B,374
5vn1_C,C,374
5vn1_D,D,374
5vn5_A,A,332
5vn5_B,B,332
5vn5_C,C,334
5vo3_A,A,380
5vp1_A,A,338
5vp1_B,B,342
5vp1_C,C,313
5vp5_A,A,411
5vpu_A,A,509
5vpw_A,A,517
5vpw_B,B,458
5vpw_C,C,495
5vpw_D,D,458
5vq3_A,A,517
5vq3_B,B,458
5vq3_C,C,517
5vq3_D,D,458
5vqe_A,A,559
5vr0_A,A,387
5vr8_A,A,460
5vr8_B,B,459
5vr8_C,C,462
5vr8_D,D,457
5vr8_E,E,457
5vr8_F,F,458
5vrb_A,A,626
5vrb_B,B,645
5vrb_C,C,614
5vrb_D,D,639
5vrk_A,A,313
5vrk_B,B,313
5vry_A,A,327
5vs3_A,A,326
5vs4_A,A,327
5vsa_A,A,304
5vsa_B,B,313
5vsa_C,C,309
5vsa_D,D,313
5vsb_A,A,335
5vsb_B,B,334
5vt3_A,A,313
5vt3_B,B,319
5vuj_A,A,407
5vuj_B,B,411
5vuk_A,A,407
5vuk_B,B,411
5vul_A,A,407
5vul_B,B,411
5vun_A,A,407
5vun_B,B,411
5vuo_A,A,407
5vuo_B,B,411
5vup_A,A,407
5vup_B,B,411
5vur_A,A,407
5vur_B,B,411
5vus_A,A,410
5vus_B,B,411
5vut_A,A,407
5vut_B,B,411
5vuu_A,A,411
5vuu_B,B,412
5vuv_A,A,413
5vuv_B,B,409
5vuz_A,A,413
5vuz_B,B,408
5vv0_A,A,413
5vv0_B,B,408
5vv1_A,A,413
5vv1_B,B,408
5vv2_A,A,413
5vv2_B,B,408
5vv6_A,A,405
5vv6_B,B,403
5vw2_A,A,309
5vw3_A,A,309
5vw4_A,A,309
5vw5_A,A,309
5vw6_A,A,309
5vw7_A,A,309
5vw8_A,A,309
5vw9_A,A,309
5vwa_A,A,309
5vwb_A,A,309
5vwm_A,A,300
5vwo_A,A,404
5vwo_B,B,404
5vwo_C,C,404
5vwq_A,A,396
5vwq_D,D,396
5vwq_G,G,396
5vwq_J,J,396
5vwr_A,A,396
5vxc_A,A,301
5vxd_A,A,345
5vxd_B,B,340
5vxe_A,A,332
5vxf_A,A,345
5vxf_B,B,328
5vxh_A,A,345
5vxh_B,B,326
5vxt_A,A,311
5vxt_B,B,312
5vyh_A,A,342
5vz7_A,A,327
5vz8_A,A,327
5vz9_A,A,326
5vza_A,A,327
5vzb_A,A,327
5vzc_A,A,326
5vzd_A,A,327
5vze_A,A,327
5vzf_A,A,326
5vzg_A,A,327
5vzh_A,A,326
5vzi_A,A,326
5w12_A,A,353
5w12_B,B,358
5w12_C,C,357
5w12_D,D,355
5w13_A,A,354
5w13_B,B,359
5w13_C,C,355
5w13_D,D,358
5w14_A,A,356
5w14_B,B,359
5w14_C,C,357
5w14_D,D,352
5w1b_A,A,465
5w1b_B,B,465
5w1b_C,C,465
5w1b_D,D,465
5w26_A,A,388
5w2o_A,A,414
5w2p_A,A,414
5w2q_A,A,414
5w2u_A,A,388
5w2w_A,A,388
5w3k_A,A,326
5w3k_B,B,326
5w3x_A,A,335
5w3x_C,C,342
5w48_A,A,452
5w48_B,B,448
5w4f_B,B,425
5w4y_A,A,450
5w4y_B,B,447
5w4z_A,A,446
5w4z_B,B,447
5w53_A,A,303
5w53_B,B,303
5w5r_A,A,415
5w5r_B,B,415
5w5r_C,C,415
5w5r_D,D,412
5w5r_E,E,409
5w5r_F,F,408
5w5r_G,G,410
5w5r_H,H,409
5w5r_I,I,409
5w5r_J,J,415
5w5r_K,K,410
5w5r_L,L,410
5w5r_M,M,409
5w5r_N,N,415
5w5r_O,O,411
5w5r_P,P,409
5w5r_Q,Q,409
5w5r_R,R,409
5w5r_T,T,415
5w5r_U,U,415
5w5t_A,A,407
5w5t_B,B,412
5w5t_C,C,412
5w5t_D,D,410
5w5t_E,E,411
5w5t_F,F,411
5w5t_G,G,411
5w5t_H,H,410
5w5t_I,I,412
5w5t_J,J,410
5w5t_K,K,408
5w5t_L,L,410
5w5t_M,M,410
5w5t_N,N,411
5w5t_O,O,408
5w5t_P,P,413
5w5t_Q,Q,410
5w5t_R,R,412
5w5t_T,T,409
5w5t_Z,Z,408
5w6b_A,A,328
5w6b_G,G,329
5w6e_A,A,321
5w6j_A,A,415
5w6j_B,B,415
5w6j_C,C,413
5w6j_D,D,412
5w6j_E,E,409
5w6j_F,F,408
5w6j_G,G,410
5w6j_H,H,409
5w6j_I,I,409
5w6j_J,J,415
5w6j_K,K,410
5w6j_L,L,410
5w6j_M,M,410
5w6j_N,N,415
5w6j_O,O,411
5w6j_P,P,409
5w6j_Q,Q,409
5w6j_R,R,409
5w6j_T,T,415
5w6j_U,U,415
5w7b_C,C,413
5w7b_D,D,412
5w7d_A,A,528
5w7e_A,A,521
5w7e_B,B,526
5w7z_A,A,380
5w7z_B,B,381
5w80_A,A,453
5w8h_A,A,331
5w8h_B,B,331
5w8h_C,C,329
5w8h_D,D,329
5w8i_A,A,329
5w8i_B,B,329
5w8i_C,C,328
5w8i_D,D,329
5w8j_A,A,329
5w8j_B,B,331
5w8j_C,C,331
5w8j_D,D,331
5w8k_A,A,323
5w8k_B,B,331
5w8k_C,C,328
5w8k_D,D,331
5w8l_A,A,331
5w8l_B,B,331
5w8l_C,C,331
5w8l_D,D,331
5w8o_A,A,341
5w8o_B,B,346
5w8p_A,A,370
5w8p_B,B,369
5w8q_A,A,379
5w8q_B,B,378
5w8x_A,A,366
5w98_A,A,300
5w99_A,A,319
5wa1_A,A,358
5wae_A,A,355
5wae_B,B,358
5wae_C,C,356
5wae_D,D,353
5wag_A,A,355
5wag_B,B,358
5wag_C,C,355
5wag_D,D,356
5wan_A,A,341
5wau_A,A,513
5wau_a,a,513
5wc4_A,A,379
5wc4_B,B,378
5wce_A,A,370
5wce_B,B,369
5wcf_A,A,319
5wcp_A,A,315
5wcp_G,G,311
5wcq_A,A,313
5wcq_G,G,328
5wcr_A,A,315
5wcr_G,G,319
5wcw_A,A,310
5wcw_G,G,312
5wcx_A,A,381
5wcx_B,B,381
5wcz_A,A,556
5wcz_B,B,554
5wde_A,A,320
5weg_A,A,455
5weg_B,B,452
5wfi_A,A,301
5wfi_B,B,303
5wfo_N,N,468
5wg8_A,A,320
5wgi_A,A,360
5wgk_A,A,355
5wgl_A,A,358
5wgl_B,B,356
5wgm_A,A,364
5wgm_B,B,363
5wgm_C,C,361
5wgx_A,A,664
5wgy_A,A,664
5wh5_A,A,326
5wh5_B,B,325
5wh6_A,A,326
5wh6_B,B,325
5wh8_A,A,323
5wi1_A,A,464
5wi1_B,B,464
5wi5_A,A,422
5wi5_B,B,422
5wi5_C,C,421
5wi5_D,D,422
5wiu_A,A,373
5wiz_A,A,310
5wiz_G,G,312
5wj0_A,A,315
5wj0_G,G,314
5wjj_A,A,338
5wk7_A,A,405
5wk9_A,A,405
5wkk_A,A,301
5wkl_A,A,303
5wkw_A,A,312
5wm1_A,A,433
5wm2_A,A,536
5wm3_A,A,537
5wm4_A,A,534
5wm5_A,A,533
5wm6_A,A,535
5wm7_A,A,535
5wm8_A,A,432
5wmi_A,A,402
5wmk_A,A,403
5wms_A,A,314
5wms_G,G,314
5wms_Q,Q,315
5wms_S,S,313
5wnn_A,A,320
5wnn_B,B,320
5wo0_A,A,326
5wp1_A,A,340
5wp2_A,A,395
5wp4_A,A,485
5wp5_A,A,463
5wp5_B,B,462
5wpj_A,A,369
5wpj_B,B,414
5wpj_C,C,370
5wpj_D,D,423
5wpw_A,A,379
5wpw_B,B,377
5wpz_A,A,460
5wpz_B,B,462
5wpz_C,C,461
5wpz_D,D,459
5wpz_E,E,463
5wpz_F,F,459
5wq6_A,A,467
5wq6_B,B,465
5wq6_C,C,464
5wq6_D,D,466
5wqc_A,A,499
5wqs_A,A,496
5wr2_A,A,316
5wr5_A,A,316
5ws1_A,A,351
5ws1_B,B,351
5ws9_A,A,471
5ws9_B,B,471
5ws9_C,C,471
5ws9_D,D,471
5wsk_A,A,440
5wsk_B,B,438
5wsk_C,C,439
5wsk_D,D,439
5wt5_A,A,362
5wt5_B,B,362
5wt5_C,C,363
5wt5_D,D,364
5wtz_A,A,420
5wum_A,A,426
5wx3_A,A,375
